 ,Total,Hombres,Mujeres
 ,1 de abril de 2023,1 de abril de 2023,1 de abril de 2023
Todas las edades,"48.196.693,0","23.608.004,0","24.588.689,0"
0 años,"333.500,0","172.100,0","161.400,0"
1 año,"347.858,0","179.578,0","168.280,0"
2 años,"351.678,0","180.370,0","171.308,0"
3 años,"372.423,0","191.143,0","181.280,0"
4 años,"388.427,0","199.297,0","189.130,0"
5 años,"411.374,0","211.701,0","199.673,0"
6 años,"435.121,0","223.772,0","211.349,0"
7 años,"450.408,0","231.569,0","218.839,0"
8 años,"459.470,0","236.711,0","222.759,0"
9 años,"458.481,0","236.073,0","222.408,0"
10 años,"476.991,0","245.763,0","231.228,0"
11 años,"492.421,0","253.799,0","238.622,0"
12 años,"504.136,0","259.439,0","244.697,0"
13 años,"513.296,0","264.670,0","248.626,0"
14 años,"532.485,0","274.560,0","257.925,0"
15 años,"524.040,0","270.020,0","254.020,0"
16 años,"518.518,0","267.227,0","251.291,0"
17 años,"513.040,0","264.617,0","248.423,0"
18 años,"514.342,0","266.104,0","248.238,0"
19 años,"514.125,0","265.013,0","249.112,0"
20 años,"504.137,0","260.310,0","243.827,0"
21 años,"503.019,0","259.417,0","243.602,0"
22 años,"510.692,0","263.343,0","247.349,0"
23 años,"507.529,0","260.304,0","247.225,0"
24 años,"499.334,0","256.057,0","243.277,0"
25 años,"506.299,0","258.485,0","247.814,0"
26 años,"508.335,0","258.699,0","249.636,0"
27 años,"512.182,0","260.836,0","251.346,0"
28 años,"520.115,0","264.396,0","255.719,0"
29 años,"534.919,0","271.486,0","263.433,0"
30 años,"550.310,0","278.535,0","271.775,0"
31 años,"553.007,0","279.800,0","273.207,0"
32 años,"558.458,0","281.796,0","276.662,0"
33 años,"566.899,0","284.772,0","282.127,0"
34 años,"576.573,0","288.805,0","287.768,0"
35 años,"584.006,0","292.038,0","291.968,0"
36 años,"595.550,0","296.598,0","298.952,0"
37 años,"612.572,0","305.037,0","307.535,0"
38 años,"633.749,0","315.501,0","318.248,0"
39 años,"654.304,0","326.034,0","328.270,0"
40 años,"685.247,0","342.058,0","343.189,0"
41 años,"714.676,0","357.738,0","356.938,0"
42 años,"746.665,0","374.528,0","372.137,0"
43 años,"768.769,0","385.822,0","382.947,0"
44 años,"797.169,0","401.134,0","396.035,0"
45 años,"811.944,0","410.017,0","401.927,0"
46 años,"823.457,0","415.327,0","408.130,0"
47 años,"820.644,0","414.461,0","406.183,0"
48 años,"813.566,0","410.336,0","403.230,0"
49 años,"795.228,0","400.637,0","394.591,0"
50 años,"786.284,0","395.470,0","390.814,0"
51 años,"774.149,0","388.474,0","385.675,0"
52 años,"761.491,0","381.243,0","380.248,0"
53 años,"750.887,0","374.667,0","376.220,0"
54 años,"741.822,0","368.723,0","373.099,0"
55 años,"741.682,0","367.297,0","374.385,0"
56 años,"726.979,0","359.373,0","367.606,0"
57 años,"715.935,0","352.343,0","363.592,0"
58 años,"719.062,0","352.711,0","366.351,0"
59 años,"692.462,0","339.081,0","353.381,0"
60 años,"664.124,0","323.906,0","340.218,0"
61 años,"644.284,0","313.130,0","331.154,0"
62 años,"638.990,0","309.538,0","329.452,0"
63 años,"623.370,0","301.359,0","322.011,0"
64 años,"604.999,0","291.266,0","313.733,0"
65 años,"587.251,0","281.289,0","305.962,0"
66 años,"551.203,0","262.975,0","288.228,0"
67 años,"525.891,0","249.721,0","276.170,0"
68 años,"499.961,0","235.717,0","264.244,0"
69 años,"490.308,0","230.857,0","259.451,0"
70 años,"484.050,0","227.603,0","256.447,0"
71 años,"456.552,0","213.005,0","243.547,0"
72 años,"435.723,0","201.657,0","234.066,0"
73 años,"439.654,0","201.458,0","238.196,0"
74 años,"451.919,0","205.466,0","246.453,0"
75 años,"420.652,0","189.782,0","230.870,0"
76 años,"390.392,0","174.071,0","216.321,0"
77 años,"389.813,0","171.855,0","217.958,0"
78 años,"370.738,0","161.998,0","208.740,0"
79 años,"352.208,0","152.083,0","200.125,0"
80 años,"305.309,0","130.524,0","174.785,0"
81 años,"267.119,0","112.656,0","154.463,0"
82 años,"292.778,0","120.516,0","172.262,0"
83 años,"219.265,0","87.591,0","131.674,0"
84 años,"201.725,0","78.702,0","123.023,0"
85 años,"213.265,0","81.351,0","131.914,0"
86 años,"217.958,0","80.481,0","137.477,0"
87 años,"200.814,0","72.663,0","128.151,0"
88 años,"179.161,0","62.933,0","116.228,0"
89 años,"160.802,0","54.507,0","106.295,0"
90 años,"140.763,0","46.028,0","94.735,0"
91 años,"115.407,0","36.540,0","78.867,0"
92 años,"95.050,0","28.394,0","66.656,0"
93 años,"74.486,0","21.110,0","53.376,0"
94 años,"58.088,0","15.676,0","42.412,0"
95 años,"42.737,0","10.885,0","31.852,0"
96 años,"31.500,0","7.565,0","23.935,0"
97 años,"22.495,0","5.062,0","17.433,0"
98 años,"15.772,0","3.441,0","12.331,0"
99 años,"10.871,0","2.299,0","8.572,0"
100 años, , , 