age,gender,ebike_own,potential_customer,tiene_patinete_electrico,afirmation_1
32,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
65,Woman,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
65,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Man,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
40,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Género fluido,0,0,0,Después del aislamiento por el COVID hubiese sido un momento mejor que este para comprar una bicicleta eléctrica.
32,Woman,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Man,0,1,1,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
40,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
40,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
50,Woman,0,0,0,Después del aislamiento por el COVID hubiese sido un momento mejor que este para comprar una bicicleta eléctrica.
32,Woman,1,0,0,Ya tengo bicicleta eléctrica.
40,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
50,Woman,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
50,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Man,0,0,1,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
40,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Man,1,1,0,Ya tengo bicicleta eléctrica.
32,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
40,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
40,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Trans,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
40,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
40,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
50,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
50,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
65,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
50,Woman,1,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
50,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,0,1,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
65,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
40,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
50,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Queer,1,1,0,Ya tengo bicicleta eléctrica.
32,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Woman,0,0,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
50,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Man,0,1,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Woman,0,0,0,Después del aislamiento por el COVID hubiese sido un momento mejor que este para comprar una bicicleta eléctrica.
65,Woman,0,1,0,Después del aislamiento por el COVID hubiese sido un momento mejor que este para comprar una bicicleta eléctrica.
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
50,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
40,Man,0,1,0,Después del aislamiento por el COVID hubiese sido un momento mejor que este para comprar una bicicleta eléctrica.
40,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
22,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
65,Woman,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
22,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
22,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
22,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
40,Man,0,1,0,Puede que entre ahora y los próximos 2 años me compre una bicicleta eléctrica.
22,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
65,Woman,0,0,0,Después del aislamiento por el COVID hubiese sido un momento mejor que este para comprar una bicicleta eléctrica.
32,Man,0,0,0,"Nunca he pensado, ni pensaré en comprarme una bicicleta eléctrica."
